Comment,Designator,Footprint,LCSC Part Number
0.1uF cap,"C2, C6, C14, C32, C35, C36, ",0805,C49678
47pF cap,"C3, C4, C15, C34, ",0805,C14857
4.7uF cap,"C8, C13, ",0805,C1779
12pF cap,"C21, C22, ",0805,C1792
0.01uF,"C31, ",0805,C1710
LED Green,"D1, D8, D9, D10, D11, D17",0805,C2297
LED Red,"D13, D21",0805,C84256
LED Yellow,"D15, D16, D18, D19, D20, D22, D23, ",0805,C2296
"2N7002 MOSFET, SOT-23","Q2, Q3, Q4, Q5, Q6, ",SOT-23,C8545
330 ohm,"R1, R14, R16, R17, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R38, R39, R41, R42, R43, R44, ",0805,C17630
22 ohm,"R2, R3, R45, ",0805,C17561
1.5K ohm,"R6, ",0805,C4310
0 ohm,"R7, R8, R9, R40, ",0805,C17477
75K ohm,"R10, ",0805,C17819
10K ohm,"R11, R34, R35, R36, R37, R46, ",0805,C17414
1M ohm,"R12, R20, ",0805,C17514
2.2K ohm,"R13, R22, ",0805,C17520
4.7K ohm,"R18, R19, R21, ",0805,C17673
100K ohm,"R15, ",0805,C17407
Low Voltage Audio Power Amplifier,"U2, ",SOIC-8,C23573
Hex inverter schmitt trigger,"U15, ",SOIC-8,C5605
